,nome,preco(R$)
3,Desodorante Aerossol Antitranspirante Sensi Men Extra Fresh 150 ml/90 g, 19.46
4,Desodorante Antitranspirante Sensi Suave Aerossol Feminino 1 un, 14.36
5,"Desodorante Antitranspirante Aerossol Masculino Sensi Antibac, 150ml/90 g", 14.36
6,Desodorante Roll-On Antitranspirante Sensi Sem Perfume 65 ml, 11.82
7,Desodorante Aerossol Antitranspirante Sensi Men Play - 150 ml/90 g, 19.46
8,Kit de Desodorantes Aerossol Antitranspirante Sensi Men 10 un, 149.90
9,Desodorante Aerossol Antitranspirante Sensi Delicado 150 ml, 14.36
10,"Desodorante Antitranspirante Aerossol Sensi Antibac, 150ml/90g", 14.36
11,Desodorante Roll-On Antitranspirante Sensi Conforto 65 ml, 11.82
12,Desodorante Antitranspirante Roll-On Algodão Sensi 55 ml, 16.06
13,Desodorante Roll-On Antitranspirante Sensi Erva Doce 65 ml, 15.22
14,Desodorante Antitranspirante Sensi Men Cool Ice Aerossol Masculino 1 un, 14.36
15,"Desodorante Antitranspirante Roll-On Sensi Men Sport, 55 ml", 11.82
16,Desodorante Antitranspirante Roll On Masculino Sensi Men Cool Ice Jequiti 55 ml, 11.82
17,Desodorante Roll-on Antitranspirante Sensi Men Impacto - 55 ml, 11.82
18,Kit de Desodorantes Aerossol Antitranspirante Sensi Men Extra Fresh 5 un, 74.90
